===== m2_t1.0_rig =====
E6* base: 56 admissible glues at m=2, index 686
t=1.0 index=686: deep-hole start d=0.5976143 diam=2.645751 (rigorous 2.645751, threshold sqrt7=2.645751)
    [heartbeat] 384 evaluations, best 0.6328203, 56s
    [heartbeat] 432 evaluations, best 0.6328203, 63s
    [heartbeat] 480 evaluations, best 0.6328203, 69s
    [heartbeat] 528 evaluations, best 0.6328203, 76s
    [heartbeat] 576 evaluations, best 0.6328203, 83s
    [heartbeat] 624 evaluations, best 0.6328203, 90s
    [heartbeat] 672 evaluations, best 0.6328203, 97s
    [heartbeat] 720 evaluations, best 0.6328203, 104s
    [heartbeat] 768 evaluations, best 0.6328203, 111s
    [heartbeat] 816 evaluations, best 0.6328203, 118s
    [heartbeat] 864 evaluations, best 0.6328203, 125s
    [heartbeat] 912 evaluations, best 0.6328203, 132s
    [heartbeat] 960 evaluations, best 0.6328203, 139s
    [heartbeat] 1008 evaluations, best 0.6328203, 145s
    [heartbeat] 1056 evaluations, best 0.6328203, 152s
    [heartbeat] 1104 evaluations, best 0.6328203, 159s
    [heartbeat] 1152 evaluations, best 0.6328203, 166s
    [heartbeat] 1200 evaluations, best 0.6328203, 173s
    [heartbeat] 1248 evaluations, best 0.6328203, 179s
    [heartbeat] 1296 evaluations, best 0.6328203, 186s
  eval 1299: d=0.6329092 diam=2.627261 glue=(3, 0, 6) [186s]
  eval 1310: d=0.6337978 diam=2.627261 glue=(3, 0, 6) [188s]
  eval 1322: d=0.6347800 diam=2.627261 glue=(5, 2, 3) [190s]
  eval 1323: d=0.6418040 diam=2.627261 glue=(3, 0, 6) [190s]
    [heartbeat] 1344 evaluations, best 0.6418040, 193s
  eval 1391: d=0.6421805 diam=2.627261 glue=(5, 2, 3) [199s]
    [heartbeat] 1392 evaluations, best 0.6421805, 199s
    [heartbeat] 1440 evaluations, best 0.6421805, 206s
  eval 1477: d=0.6426258 diam=2.627261 glue=(5, 2, 3) [211s]
  eval 1482: d=0.6457030 diam=2.627261 glue=(5, 2, 3) [212s]
    [heartbeat] 1488 evaluations, best 0.6457030, 213s
  eval 1504: d=0.6457331 diam=2.627261 glue=(5, 2, 3) [215s]
  eval 1534: d=0.6486315 diam=2.627261 glue=(5, 2, 3) [219s]
    [heartbeat] 1536 evaluations, best 0.6486315, 220s
  eval 1556: d=0.6513893 diam=2.627261 glue=(5, 2, 3) [223s]
    [heartbeat] 1584 evaluations, best 0.6513893, 227s
  eval 1587: d=0.6528071 diam=2.627261 glue=(5, 2, 3) [227s]
  eval 1594: d=0.6528132 diam=2.627261 glue=(5, 2, 3) [228s]
  eval 1607: d=0.6528995 diam=2.627261 glue=(5, 2, 3) [230s]
  eval 1610: d=0.6559568 diam=2.627261 glue=(5, 2, 3) [231s]
    [heartbeat] 1632 evaluations, best 0.6559568, 234s
  eval 1638: d=0.6560885 diam=2.627261 glue=(5, 2, 3) [235s]
  eval 1657: d=0.6577550 diam=2.627261 glue=(5, 2, 3) [239s]
  eval 1659: d=0.6582232 diam=2.627261 glue=(5, 2, 3) [239s]
  eval 1666: d=0.6582704 diam=2.627261 glue=(5, 2, 3) [240s]
